State,County,Urban_Percentage,Total_Population,Housing_Units,Median_Family_Income,Population_Half_Percent,Low_Income_Half_Percent,Vehicle_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent
Alabama,Autauga County,58.333333333333336,54571,20221,69337.5,90.70202122006194,28.43634897656264,1.9149365047369482,68.5785490461967,22.112477323120338,1.5282842535412582
Alabama,Baldwin County,45.16129032258064,182265,73180,72665.74193548386,90.86549803857021,26.39947329437906,1.194963377499794,72.6645269250816,21.314020793898994,0.9069212410501194
Alabama,Barbour County,22.22222222222222,27457,9820,44792.444444444445,86.54259387405762,43.34413810685799,2.702407400662855,69.2246057471683,33.834723385657576,1.9849218778453581
Alabama,Bibb County,0.0,22915,7953,60645.5,91.59502509273402,36.4346497927122,1.9245036002618372,76.63102771110626,28.278420248745363,1.3615535675321842
Alabama,Blount County,11.11111111111111,57322,21578,60437.666666666664,95.83231569031088,34.552178919088654,1.434004396217857,88.70590698161264,31.72952792993964,1.3118872335229057
Alabama,Bullock County,33.33333333333333,10914,3745,39524.666666666664,92.24848818031886,42.844053509254174,3.967381345061389,79.79659153380979,36.63184900128276,3.0602895363752975
Alabama,Butler County,22.22222222222222,20947,8491,50170.666666666664,86.2462405117678,41.280374277939565,2.5874826944192484,62.357378144841746,28.457535685301,1.561082732610875
Alabama,Calhoun County,70.0,118572,47331,50331.642857142855,87.0053638295719,35.69982795263637,1.9684242485578385,61.57355868164491,23.354586242957865,1.168910029349256
Alabama,Chambers County,44.44444444444444,34215,13933,52413.444444444445,84.50387257051001,37.64138535729943,2.411223147742218,63.615373374251064,26.894636855180476,1.7740756977933654
Alabama,Cherokee County,16.666666666666664,25989,10626,51754.666666666664,96.97949132325215,39.78991111624149,1.5275693562661126,92.64688906845203,37.954519219669855,1.3890492131286314
Alabama,Chilton County,11.11111111111111,43643,16558,56950.88888888889,94.53062346768095,38.83555209311917,1.718488646518342,84.55880668148386,34.44309511261829,1.4160346447311138
Alabama,Choctaw County,0.0,13859,5866,48448.5,96.55097770401905,45.59492026841763,3.8675229093008157,88.93859585828703,42.40565697380763,3.420160184717512
