,State,County,"Grocery stores, 2016","Convenience stores, 2016","Fast-food restaurants, 2016","Farmers' markets, 2018"
0,AK,Aleutians East,4.0,0.0,1.0,0.0
1,AK,Aleutians West,4.0,1.0,0.0,1.0
2,AK,Anchorage,33.0,51.0,208.0,10.0
3,AK,Bethel,23.0,5.0,6.0,0.0
4,AK,Bristol Bay,2.0,0.0,0.0,0.0
5,AK,Denali,1.0,3.0,3.0,0.0
6,AK,Dillingham,4.0,1.0,1.0,1.0
7,AK,Fairbanks North Star,7.0,24.0,44.0,3.0
8,AK,Haines,3.0,0.0,1.0,1.0
9,AK,Hoonah-Angoon,4.0,3.0,2.0,0.0
10,AK,Juneau,4.0,7.0,28.0,2.0
11,AK,Kenai Peninsula,17.0,18.0,44.0,6.0
12,AK,Ketchikan Gateway,4.0,3.0,11.0,0.0
13,AK,Kodiak Island,5.0,2.0,6.0,0.0
14,AK,Lake and Peninsula,2.0,2.0,0.0,0.0
15,AK,Matanuska-Susitna,10.0,17.0,36.0,7.0
16,AK,Nome,19.0,1.0,1.0,0.0
17,AK,North Slope,8.0,2.0,3.0,0.0
18,AK,Northwest Arctic,8.0,2.0,3.0,0.0
19,AK,Petersburg,3.0,4.0,3.0,1.0
20,AK,Prince of Wales-Hyder,5.0,5.0,3.0,0.0
21,AK,Sitka,4.0,2.0,4.0,1.0
22,AK,Skagway,2.0,1.0,2.0,0.0
23,AK,Southeast Fairbanks,4.0,5.0,3.0,1.0
24,AK,Valdez-Cordova,8.0,8.0,7.0,3.0
25,AK,Wade Hampton,13.0,1.0,0.0,
26,AK,Wrangell,3.0,1.0,1.0,0.0
27,AK,Yakutat,2.0,0.0,0.0,0.0
28,AK,Yukon-Koyukuk,9.0,4.0,0.0,1.0
29,AL,Autauga,3.0,31.0,44.0,1.0
30,AL,Baldwin,29.0,118.0,156.0,4.0
31,AL,Barbour,4.0,19.0,23.0,4.0
32,AL,Bibb,5.0,15.0,7.0,1.0
33,AL,Blount,5.0,27.0,23.0,1.0
34,AL,Bullock,3.0,6.0,3.0,1.0
35,AL,Butler,3.0,22.0,18.0,2.0
36,AL,Calhoun,27.0,84.0,95.0,2.0
37,AL,Chambers,7.0,22.0,29.0,1.0
38,AL,Cherokee,5.0,18.0,15.0,1.0
39,AL,Chilton,5.0,33.0,22.0,0.0
40,AL,Choctaw,3.0,15.0,6.0,1.0
41,AL,Clarke,6.0,13.0,25.0,2.0
42,AL,Clay,3.0,6.0,4.0,2.0
43,AL,Cleburne,2.0,12.0,5.0,1.0
44,AL,Coffee,7.0,29.0,40.0,2.0
45,AL,Colbert,8.0,45.0,53.0,2.0
46,AL,Conecuh,1.0,15.0,7.0,1.0
47,AL,Coosa,1.0,8.0,1.0,0.0
48,AL,Covington,6.0,34.0,27.0,2.0
49,AL,Crenshaw,4.0,7.0,8.0,1.0
50,AL,Cullman,15.0,53.0,63.0,1.0
51,AL,Dale,6.0,29.0,35.0,2.0
52,AL,Dallas,8.0,36.0,25.0,1.0
53,AL,DeKalb,16.0,50.0,40.0,2.0
54,AL,Elmore,8.0,55.0,39.0,2.0
55,AL,Escambia,4.0,30.0,28.0,2.0
56,AL,Etowah,14.0,70.0,85.0,3.0
57,AL,Fayette,4.0,8.0,13.0,1.0
58,AL,Franklin,10.0,20.0,17.0,2.0
59,AL,Geneva,10.0,15.0,10.0,0.0
60,AL,Greene,2.0,13.0,2.0,2.0
61,AL,Hale,2.0,12.0,10.0,1.0
62,AL,Henry,2.0,12.0,13.0,2.0
63,AL,Houston,17.0,71.0,116.0,3.0
64,AL,Jackson,11.0,42.0,32.0,1.0
65,AL,Jefferson,107.0,459.0,709.0,17.0
66,AL,Lamar,4.0,9.0,6.0,1.0
67,AL,Lauderdale,19.0,49.0,71.0,1.0
68,AL,Lawrence,3.0,20.0,15.0,1.0
69,AL,Lee,18.0,79.0,145.0,4.0
70,AL,Limestone,10.0,59.0,52.0,1.0
71,AL,Lowndes,2.0,9.0,1.0,1.0
72,AL,Macon,4.0,13.0,9.0,1.0
73,AL,Madison,46.0,217.0,333.0,7.0
74,AL,Marengo,3.0,21.0,18.0,3.0
75,AL,Marion,3.0,23.0,19.0,2.0
76,AL,Marshall,22.0,74.0,80.0,3.0
77,AL,Mobile,56.0,250.0,276.0,5.0
78,AL,Monroe,5.0,14.0,10.0,2.0
79,AL,Montgomery,34.0,149.0,218.0,3.0
80,AL,Morgan,18.0,95.0,90.0,3.0
81,AL,Perry,3.0,8.0,2.0,1.0
82,AL,Pickens,5.0,9.0,7.0,2.0
83,AL,Pike,7.0,20.0,34.0,1.0
84,AL,Randolph,3.0,20.0,10.0,2.0
85,AL,Russell,12.0,35.0,48.0,1.0
86,AL,Shelby,26.0,106.0,162.0,8.0
87,AL,St. Clair,14.0,53.0,55.0,1.0
88,AL,Sumter,2.0,20.0,8.0,1.0
89,AL,Talladega,8.0,78.0,50.0,1.0
90,AL,Tallapoosa,6.0,35.0,23.0,1.0
91,AL,Tuscaloosa,25.0,128.0,171.0,2.0
92,AL,Walker,10.0,47.0,45.0,1.0
93,AL,Washington,3.0,10.0,2.0,1.0
94,AL,Wilcox,7.0,9.0,3.0,3.0
95,AL,Winston,6.0,24.0,11.0,1.0
96,AR,Arkansas,3.0,17.0,9.0,2.0
97,AR,Ashley,2.0,14.0,15.0,2.0
98,AR,Baxter,8.0,16.0,31.0,3.0
99,AR,Benton,37.0,81.0,163.0,8.0
100,AR,Boone,7.0,21.0,24.0,3.0
101,AR,Bradley,2.0,5.0,5.0,0.0
102,AR,Calhoun,0.0,3.0,1.0,0.0
103,AR,Carroll,5.0,17.0,15.0,3.0
104,AR,Chicot,4.0,9.0,5.0,1.0
105,AR,Clark,2.0,10.0,23.0,1.0
106,AR,Clay,4.0,8.0,6.0,1.0
107,AR,Cleburne,7.0,14.0,18.0,1.0
108,AR,Cleveland,2.0,5.0,2.0,1.0
109,AR,Columbia,3.0,18.0,21.0,1.0
110,AR,Conway,4.0,13.0,10.0,1.0
111,AR,Craighead,21.0,43.0,84.0,2.0
112,AR,Crawford,8.0,28.0,26.0,1.0
113,AR,Crittenden,9.0,30.0,30.0,0.0
114,AR,Cross,3.0,10.0,11.0,1.0
115,AR,Dallas,2.0,7.0,4.0,0.0
116,AR,Desha,4.0,8.0,10.0,0.0
117,AR,Drew,2.0,11.0,14.0,0.0
118,AR,Faulkner,13.0,52.0,84.0,5.0
119,AR,Franklin,2.0,10.0,5.0,1.0
120,AR,Fulton,1.0,8.0,4.0,0.0
121,AR,Garland,16.0,48.0,84.0,3.0
122,AR,Grant,4.0,9.0,5.0,1.0
123,AR,Greene,7.0,18.0,26.0,1.0
124,AR,Hempstead,3.0,15.0,14.0,2.0
125,AR,Hot Spring,6.0,15.0,18.0,0.0
126,AR,Howard,3.0,10.0,10.0,1.0
127,AR,Independence,7.0,19.0,24.0,0.0
128,AR,Izard,4.0,7.0,4.0,1.0
129,AR,Jackson,3.0,11.0,8.0,1.0
130,AR,Jefferson,15.0,40.0,58.0,1.0
