State,Urban_Percentage,Total_Population,Housing_Units,Population_Half,Low_Income_Half,Vehicle_Half,Population_1,Low_Income_1,Vehicle_1,Median_Family_Income,Population_Half_Percent,Low_Income_Half_Percent,Vehicle_Half_Percent,Population_1_Percent,Low_Income_1_Percent,Vehicle_1_Percent
Alabama,54.66893039049236,4779736,1883791,4097447.0,1553294.0,95414.0,2935582.0,1073134.0,58528.0,59814.49271636675,85.72538315923724,32.49748521675674,1.996219038038921,61.41724145433973,22.451742104584856,1.22450277588553
Alaska,50.29940119760479,710231,258058,571016.0,143243.0,18020.0,383330.0,98217.0,12859.0,87459.4606060606,80.3986308679852,20.1685085556671,2.5372026847603104,53.97258075189622,13.828881026032375,1.8105376982981596
Arizona,85.0,6392017,2380990,4543901.0,1553289.0,91538.0,2269693.0,744272.0,37619.0,69963.00597213006,71.08712320383378,24.300451641477174,1.4320675304837267,35.50824411136579,11.64377378846145,0.5885309754338888
Arkansas,48.8338192419825,2915918,1147084,2496017.0,1005188.0,59929.0,1774428.0,684193.0,35393.0,56778.25844346549,85.59969793389251,34.47243715358251,2.0552361211803625,60.853151563246975,23.464068605495765,1.2137858472014647
California,91.63758723828516,37253956,12577498,19007542.0,5505259.0,301830.0,6882412.0,1810949.0,78700.0,88387.66578483245,51.021539833246166,14.777649385745772,0.8101958353094099,18.474311828789407,4.8610917992172435,0.2112527324614868
Colorado,78.66344605475041,5029196,1972868,3623972.0,906289.0,54706.0,1731172.0,396228.0,18756.0,86548.93577235773,72.05867498502742,18.020554378870898,1.087768303323235,34.42244048551697,7.878555538499593,0.3729423152328921
Connecticut,85.26570048309179,3574097,1371087,2636731.0,500781.0,60630.0,1498221.0,210213.0,20516.0,100079.49756690998,73.77334750567766,14.011399242941645,1.696372538294288,41.918867898660835,5.881569526512571,0.5740191158773811
Delaware,79.43925233644859,897934,342297,682962.0,173483.0,13469.0,410217.0,100307.0,6263.0,80919.78504672897,76.0592649348393,19.320239572173456,1.4999988863324032,45.684538061817456,11.1708655647297,0.6974900159699933
District of Columbia,100.0,601723,266707,196290.0,66866.0,23539.0,27650.0,9661.0,2770.0,119155.76878612716,32.621322435738705,11.112422161027583,3.9119328993573452,4.595137629773168,1.6055560448910877,0.4603447101074747
Florida,86.72883787661407,18801310,7420802,13160276.0,4379650.0,274913.0,6571917.0,2070315.0,104091.0,68329.02990834539,69.99659066309741,23.294387465554262,1.4622013040580684,34.954569654986805,11.011546535853087,0.5536369540207571
Georgia,67.39908022483392,9687653,3585584,8002291.0,2841822.0,175943.0,5306219.0,1814602.0,93379.0,68388.55475578406,82.60298959923523,29.334473478767254,1.816157122886214,54.77300848822723,18.731079653658114,0.9638970347100583
Hawaii,84.11214953271028,1360301,455338,864637.0,186753.0,12932.0,505567.0,116837.0,6897.0,93827.15210355989,63.562182193499815,13.728799728883534,0.9506719468705823,37.16581844753477,8.589054922403204,0.5070201374548721
Idaho,57.04697986577181,1567582,579408,1222049.0,421336.0,14668.0,759983.0,244648.0,6956.0,64366.37919463087,77.95758052848272,26.878083570747812,0.9357086264067844,48.481227776282196,15.606711483035657,0.4437407421110985
Illinois,84.23756019261637,12830632,4836972,8047025.0,2156820.0,205958.0,4024103.0,956538.0,69252.0,81657.72107304461,62.717292491905305,16.809927991076357,1.6052054177845645,31.363248513401366,7.455112109832158,0.5397395857039622
Indiana,69.21035169210353,6483802,2502154,5336466.0,1669393.0,118744.0,3552499.0,995662.0,63883.0,64858.94839142091,82.30457993627813,25.74713108142414,1.8313946045853962,54.790368367201836,15.356144435008964,0.9852706791478211
Iowa,55.77156743620899,3046355,1221576,2294135.0,626763.0,44066.0,1394763.0,349553.0,20111.0,72279.74299634591,75.30753966625689,20.574194406101718,1.4465155899427349,45.78465083681974,11.474467026987991,0.6601660016642841
Kansas,66.31853785900783,2853118,1112096,2190503.0,658541.0,42872.0,1248091.0,357979.0,20480.0,71610.10052910053,76.77575901171981,23.081449838387336,1.5026367644100245,43.74480831146836,12.546939874200785,0.7178111806101255
Kentucky,50.27027027027027,4339367,1719965,3613932.0,1358734.0,98438.0,2531898.0,943326.0,58269.0,61575.99727272728,83.28246953991216,31.311801928714488,2.268487546685957,58.34717367763547,21.73879277784064,1.3427995373518764
