County,Urban_Percentage,Pop2010_Sum,OHU2010_Sum,lapophalf_Sum,lalowihalf_Sum,lahunvhalf_Sum,lapop1_Sum,lalowi1_Sum,lahunv1_Sum,MedianFamilyIncome_Avg,lapophalfshare_Avg,lalowihalfshare_Avg,lahunvhalfshare_Avg,lapop1share_Avg,lalowi1share_Avg,lahunv1share_Avg
Abbeville County,16.666666666666664,25417,9990,23281.0,9784.0,912.0,18958.0,7585.0,559.0,48245.5,93.48833333333334,40.556666666666665,8.86,80.11166666666666,33.91,6.253333333333333
Acadia Parish,50.0,61773,22841,43547.0,16733.0,1002.0,31316.0,10500.0,480.0,54040.583333333336,71.8525,27.88,4.5216666666666665,52.92583333333334,18.308333333333334,2.3958333333333335
Accomack County,0.0,33164,13798,30794.0,13236.0,1397.0,27105.0,11970.0,1274.0,54276.875,93.96,35.89888888888889,8.854444444444445,83.99555555555555,32.64111111111111,8.121111111111112
Ada County,93.22033898305084,392365,148445,290605.0,73229.0,3274.0,134683.0,28151.0,1122.0,80933.16949152542,74.18948275862068,19.135344827586206,2.424655172413793,42.188863636363635,8.566363636363636,1.0277272727272726
Adair County,22.727272727272727,74628,28610,63441.0,30316.0,1357.0,49329.0,22833.0,986.0,51179.80952380953,85.29818181818182,40.731818181818184,5.208181818181818,70.61952380952381,32.355714285714285,3.8633333333333333
Adams County,70.8108108108108,786662,286366,586185.0,181780.0,10779.0,324062.0,97111.0,5614.0,69035.83243243243,74.51153005464481,23.8424043715847,3.8932240437158474,51.83734693877551,15.928911564625851,2.4698639455782314
Addison County,20.0,36821,14084,33299.0,7158.0,426.0,28161.0,5860.0,303.0,83017.3,90.703,19.911,3.1580000000000004,76.565,16.250999999999998,2.169
Aiken County,53.125,160099,64253,141143.0,54366.0,3171.0,111442.0,42435.0,2240.0,58865.0625,89.321875,35.2465625,5.194375,72.75812499999999,28.4828125,3.8790625
Aitkin County,0.0,16202,7299,15657.0,5508.0,377.0,14438.0,5000.0,316.0,56628.166666666664,97.11666666666667,34.04666666666667,4.976666666666667,90.84833333333334,31.433333333333334,4.238333333333333
Alachua County,71.42857142857143,247336,100516,195651.0,73178.0,4852.0,101887.0,35412.0,2252.0,65815.89285714286,77.38589285714285,30.67517857142857,5.266964285714286,50.63044444444444,18.02488888888889,2.974
Alamance County,66.66666666666666,151131,59960,125757.0,49045.0,2423.0,83334.0,30657.0,1267.0,62970.86111111111,82.895,31.18638888888889,3.9299999999999997,56.18314285714286,20.028000000000002,2.19
Alameda County,98.33333333333333,1510271,545138,661765.0,129690.0,15058.0,133951.0,17774.0,1865.0,112924.3904494382,51.055548172757476,10.422624584717608,3.6892358803986713,30.25433962264151,4.49811320754717,1.5669811320754716
Alamosa County,50.0,15445,5995,11717.0,5338.0,358.0,7792.0,3346.0,209.0,57020.5,84.395,37.07,6.154999999999999,66.12,27.470000000000002,4.05
