State,Urban_Percentage,Pop2010_Sum,OHU2010_Sum,lapophalf_Sum,lalowihalf_Sum,lahunvhalf_Sum,lapop1_Sum,lalowi1_Sum,lahunv1_Sum,MedianFamilyIncome_Avg,lapophalfshare_Avg,lalowihalfshare_Avg,lahunvhalfshare_Avg,lapop1share_Avg,lalowi1share_Avg,lahunv1share_Avg
Alabama,54.66893039049236,4779736,1883791,4097447.0,1553294.0,95414.0,2935582.0,1073134.0,58528.0,59814.49271636675,85.068632115548,34.64316907391674,5.903644859813085,65.28388429752066,25.571037649219466,3.9319100091827366
Alaska,50.29940119760479,710231,258058,571016.0,143243.0,18020.0,383330.0,98217.0,12859.0,87459.4606060606,81.40952095808383,21.7611377245509,9.63748502994012,65.97965986394559,18.087891156462586,8.649795918367348
Arizona,85.0,6392017,2380990,4543901.0,1553289.0,91538.0,2269693.0,744272.0,37619.0,69963.00597213006,72.59787675820496,25.168070997990622,4.233536503683858,50.11184742647059,17.075992647058825,2.6441819852941175
Arkansas,48.8338192419825,2915918,1147084,2496017.0,1005188.0,59929.0,1774428.0,684193.0,35393.0,56778.25844346549,85.92686588921283,35.70294460641399,5.805,63.80457703927492,25.480861027190336,3.6653172205438067
California,91.63758723828515,37253956,12577498,19007542.0,5505259.0,301830.0,6882412.0,1810949.0,78700.0,88387.66578483245,56.99614867702646,16.521012179756404,2.817104857902842,39.600829152363346,10.526833905466068,1.3761055408970975
Colorado,78.66344605475041,5029196,1972868,3623972.0,906289.0,54706.0,1731172.0,396228.0,18756.0,86548.93577235773,73.48328699918234,19.05116925592805,2.9058708094848735,48.85702524698134,11.984138309549945,1.4916794731064764
Connecticut,85.26570048309179,3574097,1371087,2636731.0,500781.0,60630.0,1498221.0,210213.0,20516.0,100079.49756690998,74.7005562579014,14.397699115044247,4.757408343868521,51.956624605678236,7.314526813880126,1.8532649842271294
Delaware,79.43925233644859,897934,342297,682962.0,173483.0,13469.0,410217.0,100307.0,6263.0,80919.78504672897,75.12211538461538,19.49331730769231,4.360288461538461,51.000335195530724,12.698826815642459,2.2416759776536312
District of Columbia,100.0,601723,266707,196290.0,66866.0,23539.0,27650.0,9661.0,2770.0,119155.76878612717,46.138195488721806,16.160902255639098,13.834812030075188,25.50722222222222,9.991944444444444,7.797222222222222
Florida,86.72883787661407,18801310,7420802,13160276.0,4379650.0,274913.0,6571917.0,2070315.0,104091.0,68329.02990834539,71.12767436149312,23.854810903732808,4.0389906679764245,46.88684486716956,14.825372253197768,2.0393998032141685
Georgia,67.39908022483392,9687653,3585584,8002291.0,2841822.0,175943.0,5306219.0,1814602.0,93379.0,68388.55475578406,82.22425564681726,31.1583726899384,5.758418891170431,60.265777525539164,22.029971623155504,3.4118558456299657
Hawaii,84.11214953271028,1360301,455338,864637.0,186753.0,12932.0,505567.0,116837.0,6897.0,93827.15210355987,68.35947735191637,13.653066202090592,3.0149128919860626,50.59741228070176,10.59736842105263,2.0751754385964913
Idaho,57.04697986577181,1567582,579408,1222049.0,421336.0,14668.0,759983.0,244648.0,6956.0,64366.37919463087,77.96909090909091,27.732020202020202,2.5919528619528616,57.03640151515152,19.114128787878787,1.4470833333333333
Illinois,84.23756019261637,12830632,4836972,8047025.0,2156820.0,205958.0,4024103.0,956538.0,69252.0,81657.72107304461,69.66565663976522,20.439343360234776,5.5980080704328685,48.775415143603134,12.795853785900784,2.4911174934725846
Indiana,69.21035169210353,6483802,2502154,5336466.0,1669393.0,118744.0,3552499.0,995662.0,63883.0,64858.94839142091,81.1272340425532,27.826715425531912,5.496083776595745,58.734847129008195,17.950387770320656,3.2246383296047725
Iowa,55.77156743620899,3046355,1221576,2294135.0,626763.0,44066.0,1394763.0,349553.0,20111.0,72279.74299634591,76.38101096224116,21.808915956151033,3.7904019488428746,54.965696721311474,14.444562841530054,2.02301912568306
