,Year,LocationAbbr,LocationDesc,Datasource,Class,Topic,Question,Data_Value,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,Total,Age(years),Education,Gender,Grade,Income,Race/Ethnicity,GeoLocation,ClassID,TopicID,QuestionID,DataValueTypeID,LocationID,StratificationCategory1,Stratification1,StratificationCategoryId1,StratificationID1
28,2015,ME,Maine,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.5,10.5,19.7,374.0,,,,,,,Hispanic,"(45.254228894001, -68.985031336)",OWS,OWS1,Q038,VALUE,23,Race/Ethnicity,Hispanic,RACE,RACEHIS
33,2015,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.5,8.4,13.0,1131.0,,,,,10th,,,"(47.066528972, -109.424420645)",OWS,OWS1,Q038,VALUE,30,Grade,10th,GRADE,GRADE10
127,2015,MS,Mississippi,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,21.7,18.6,25.2,962.0,,,,Male,,,,"(32.745510099, -89.538030825)",OWS,OWS1,Q038,VALUE,28,Gender,Male,GEN,MALE
135,2015,AK,Alaska,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.9,8.4,14.1,666.0,,,,Female,,,,"(64.845079957001, -147.722059036)",OWS,OWS1,Q038,VALUE,2,Gender,Female,GEN,FEMALE
212,2015,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,7.4,6.3,8.7,2132.0,,,,Female,,,,"(47.066528972, -109.424420645)",OWS,OWS1,Q038,VALUE,30,Gender,Female,GEN,FEMALE
241,2015,AR,Arkansas,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,18.1,13.9,23.3,831.0,,,,,10th,,,"(34.748650124, -92.274490743)",OWS,OWS1,Q038,VALUE,5,Grade,10th,GRADE,GRADE10
403,2015,PA,Pennsylvania,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,21.7,17.2,27.1,266.0,,,,,,,Non-Hispanic Black,"(40.793730152, -77.860700294)",OWS,OWS1,Q038,VALUE,42,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
497,2015,HI,Hawaii,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,12.4,10.0,15.3,1336.0,,,,,12th,,,"(21.304850435, -157.857749403)",OWS,OWS1,Q038,VALUE,15,Grade,12th,GRADE,GRADE12
535,2015,NY,New York,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.3,11.6,15.2,2313.0,,,,,10th,,,"(42.827001032, -75.543970427)",OWS,OWS1,Q038,VALUE,36,Grade,10th,GRADE,GRADE10
625,2015,IL,Illinois,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,13.9,10.8,17.8,867.0,,,,,10th,,,"(40.485010283, -88.997710178)",OWS,OWS1,Q038,VALUE,17,Grade,10th,GRADE,GRADE10
626,2015,AZ,Arizona,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.2,7.7,13.4,697.0,,,,,11th,,,"(34.86597028, -111.763811277)",OWS,OWS1,Q038,VALUE,4,Grade,11th,GRADE,GRADE11
834,2015,AR,Arkansas,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,19.3,14.7,24.8,408.0,,,,,,,Hispanic,"(34.748650124, -92.274490743)",OWS,OWS1,Q038,VALUE,5,Race/Ethnicity,Hispanic,RACE,RACEHIS
1117,2015,WY,Wyoming,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,10.8,8.0,14.5,765.0,,,,,9th,,,"(43.235541343, -108.109830353)",OWS,OWS1,Q038,VALUE,56,Grade,9th,GRADE,GRADE09
1206,2015,IN,Indiana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.1,12.0,21.1,629.0,,,,,10th,,,"(39.766910452, -86.149960194)",OWS,OWS1,Q038,VALUE,18,Grade,10th,GRADE,GRADE10
1212,2015,MT,Montana,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,16.3,12.4,21.1,298.0,,,,,,,Hispanic,"(47.066528972, -109.424420645)",OWS,OWS1,Q038,VALUE,30,Race/Ethnicity,Hispanic,RACE,RACEHIS
1269,2015,ND,North Dakota,Youth Risk Behavior Surveillance System,Obesity / Weight Status,Obesity / Weight Status,Percent of students in grades 9-12 who have obesity,14.9,11.6,19.0,536.0,,,,,10th,,,"(47.475319779, -100.118421049)",OWS,OWS1,Q038,VALUE,38,Grade,10th,GRADE,GRADE10
